stratum,repo,prA,prB,label,conflict_has_content,conflict_is_content_only,retrieved_at_utc,oid_scope,git_version,fetch_parameters,diff_parameters,api_headA_oid,api_headB_oid,headA_oid,headB_oid,baseA_oid,baseB_oid,merge_base_oid,filesA,hunksA,filesB,hunksB,status
cross,reeze/php-leveldb,52,54,CLEAN,false,false,2026-09-16T23:32:04.404282+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,16d37e9010d208a18715a40ef6a8ad62296fdf33,22791bedf00d44ed8e1a4a6cc2c869c85fb819f0,16d37e9010d208a18715a40ef6a8ad62296fdf33,22791bedf00d44ed8e1a4a6cc2c869c85fb819f0,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,70ecae7103dbfe0817740f1c2aeaed551e2f67f6,2,2,1,8,OK
cross,RSamaium/CanvasEngine,40,46,CONFLICT,true,true,2026-09-16T23:32:07.133055+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4d09a9692490b07ee460f01e4052c4e64d92a788,d99a9eb775e170ca8cfe426ad736465ac4851715,4d09a9692490b07ee460f01e4052c4e64d92a788,d99a9eb775e170ca8cfe426ad736465ac4851715,dfe125472ae9c2ad3641b63d4fc544bb449e09ce,cf4264b3cd890c3d803f9f820d7489e6934e2dce,dfe125472ae9c2ad3641b63d4fc544bb449e09ce,4,4,129,554,OK
cross,OpenSprinkler/OpenSprinkler-App,250,251,CLEAN,false,false,2026-09-16T23:32:09.411003+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,a6f89e315ceb43da8b6ab7e40b53a7bef60dc6e6,c349205bab9c418f5d578f99506420b425535462,a6f89e315ceb43da8b6ab7e40b53a7bef60dc6e6,c349205bab9c418f5d578f99506420b425535462,74ccf846903e2b76bcdd5563dfa1b8d5f8e158b9,74ccf846903e2b76bcdd5563dfa1b8d5f8e158b9,23305ab91b7f7016cbdd724bc067c16a946b7d0c,1,1,1,1,OK
cross,bmander/graphserver,32,34,CLEAN,false,false,2026-09-16T23:32:11.939839+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,25b917e318c0a32b650585aa2315b10f1e7bf8c3,e3e1ff46a97581452ed5fddec6f77500eccf7d9b,25b917e318c0a32b650585aa2315b10f1e7bf8c3,e3e1ff46a97581452ed5fddec6f77500eccf7d9b,a4faf6d4c40eef4a394ad6999673dfa149fb50a2,94bf968fe8b020662ec1c70b9462c8d7fa2edefd,a4faf6d4c40eef4a394ad6999673dfa149fb50a2,0,0,69,212,OK
cross,rsyslog/rsyslog,5688,5793,CONFLICT,true,true,2026-09-16T23:32:14.329262+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,f4541bc90c67e139f1605601731eaa999a79faa7,8df341f97e5b07a177c3fe9a102280c4b718b5ba,f4541bc90c67e139f1605601731eaa999a79faa7,8df341f97e5b07a177c3fe9a102280c4b718b5ba,dc1a8fb07235503739e7bde2c8746a7739ed54d2,5644c2e9e16ffaf5262e3ada3fb1b82a3dd5d61a,0a5109953932dc924f17417e478af448612427b3,3,35,939,3143,OK
cross,EduMIPS64/edumips64,1364,1378,CLEAN,false,false,2026-09-16T23:32:18.633748+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,0e8207830343e11c05bde6436358a03cdb70313d,9c6f4a85720aa2b3ba052cfa412353df171eebc8,0e8207830343e11c05bde6436358a03cdb70313d,9c6f4a85720aa2b3ba052cfa412353df171eebc8,a322f53cd159462c7a12ea42b0278575cf2f0d25,892e525d7b6a86fd589f5924296a62d7cd143751,892e525d7b6a86fd589f5924296a62d7cd143751,14,21,2,3,OK
cross,devitocodes/devito,2625,2682,CLEAN,false,false,2026-09-16T23:32:25.465702+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,567fbec882fb1ce915408dd8d0e3b805f2f84438,41d1482244e264503d5cd3202f0b633959dbf1c3,567fbec882fb1ce915408dd8d0e3b805f2f84438,41d1482244e264503d5cd3202f0b633959dbf1c3,a4870583d2e851ca78c5a16dd00cf9291ab304e3,b57aa006628448555812f90a6c8f34e1d6471211,a4870583d2e851ca78c5a16dd00cf9291ab304e3,1,8,7,15,OK
cross,vercel/vercel,13444,13578,CLEAN,false,false,2026-09-16T23:32:30.395473+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,06961f6b0307726be19d00023c5a6be263508cb9,76d6ac10a15cd85644b36898691b3d71f3e1e683,06961f6b0307726be19d00023c5a6be263508cb9,76d6ac10a15cd85644b36898691b3d71f3e1e683,44e92f7d0d3883c7bff0f91eb116b76ba58f694f,c7ea157fd673e65e78ebb13738f26ec83bee0abb,44e92f7d0d3883c7bff0f91eb116b76ba58f694f,6,7,132,545,OK
cross,bcherny/json-schema-to-typescript,658,663,CLEAN,false,false,2026-09-16T23:32:42.122011+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4741a93d514edbaca818327587d801e1b419123a,56c6eca33d445818589ce83378623444033df5a0,4741a93d514edbaca818327587d801e1b419123a,56c6eca33d445818589ce83378623444033df5a0,a5834aa990a58b98a02824e1521f27d4235e1e12,43ba08b117adcce82ae2f13e9abd73314680a695,a5834aa990a58b98a02824e1521f27d4235e1e12,1,1,7,869,OK
cross,sakaiproject/sakai,13751,13874,CLEAN,false,false,2026-09-16T23:32:50.773970+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,9a434bc9f89464d30b14304a9ea84498c827d37e,956a4183f17d4a2a09b2a7a088de4f0ccfcd0f91,9a434bc9f89464d30b14304a9ea84498c827d37e,956a4183f17d4a2a09b2a7a088de4f0ccfcd0f91,1fe64d4120aa97c1db162dd95a636ed35e9e4d44,3dc5226a87203f4470262e79bf88924aae9673e7,1fe64d4120aa97c1db162dd95a636ed35e9e4d44,20,21,1089,7318,OK
cross,benwbrum/fromthepage,4696,4750,CLEAN,false,false,2026-09-16T23:33:07.214775+00:00,current-pr-heads-at-extraction; not frozen replay OIDs,git version 2.50.1 (Apple Git-155),refs/pull/N/head; --no-tags; depth 80; depth 600 retry if no merge base,git -c diff.renames=true -c diff.algorithm=myers diff --no-ext-diff --no-textconv --unified=0; default whitespace; binary paths count as files and contribute zero hunks,4d961196f6cf4175ef6abdde22b74bb3fe8ff1e6,addd097176ff33026e1fb6367e8d872008e01912,4d961196f6cf4175ef6abdde22b74bb3fe8ff1e6,addd097176ff33026e1fb6367e8d872008e01912,ae615c04d160d431cb873ad7bd93b6de5ac0a440,f1bdb3e7d8dc3d08513f4c805655983661cd4aa9,f1bdb3e7d8dc3d08513f4c805655983661cd4aa9,540,3687,5,5,OK
